Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA,UNH,XOM
2020-01-02,72.33387756347656,94.90049743652344,67.83251190185547,117.89921569824219,207.95384216308594,151.82952880859375,5.963803291320801,28.68400001525879,261.7021484375,52.94704055786133
2020-01-03,71.6306381225586,93.74849700927734,67.47765350341797,116.34335327148438,206.853515625,149.93899536132812,5.868346691131592,29.534000396728516,259.0538330078125,52.52137756347656
2020-01-06,72.20142364501953,95.14399719238281,69.27621459960938,116.2508544921875,210.7493133544922,150.3265838623047,5.892956256866455,30.1026668548584,260.85211181640625,52.92462921142578
2020-01-07,71.86184692382812,95.34300231933594,69.14239501953125,114.27449035644531,211.2052764892578,148.95591735839844,5.964301109313965,31.270666122436523,259.277587890625,52.49149703979492
2020-01-08,73.017822265625,94.59850311279297,69.6345443725586,115.16594696044922,213.3464813232422,151.3285369873047,5.975485801696777,32.80933380126953,264.74420166015625,51.69990539550781
2020-01-09,74.56880950927734,95.05249786376953,70.36555480957031,115.58643341064453,216.39968872070312,153.21913146972656,6.041113376617432,32.089332580566406,263.2410888671875,52.095703125
2020-01-10,74.73738861083984,94.15799713134766,70.82000732421875,114.434326171875,216.16175842285156,152.5101776123047,6.073429107666016,31.876667022705078,264.0553283691406,51.63270568847656
2020-01-13,76.33409118652344,94.56500244140625,71.36865234375,115.38462829589844,219.97825622558594,154.34397888183594,6.263845920562744,34.990665435791016,255.7523193359375,52.125572204589844
2020-01-14,75.30332946777344,93.47200012207031,70.90080261230469,116.73019409179688,217.15304565429688,153.2569122314453,6.147010803222656,35.861331939697266,257.8907165527344,51.67749786376953
2020-01-15,74.9806137084961,93.10099792480469,71.32752227783203,114.98094940185547,219.224853515625,154.2494354248047,6.1045026779174805,34.56666564941406,265.2004699707031,51.59536361694336
2020-01-16,75.91986083984375,93.89700317382812,71.87069702148438,115.42669677734375,219.83950805664062,157.07577514648438,6.1880269050598145,34.232666015625,269.07452392578125,51.39371109008789
2020-01-17,76.76036071777344,93.23600006103516,73.3258056640625,116.22560119628906,220.2062530517578,157.95489501953125,6.1967291831970215,34.03333282470703,267.04351806640625,51.19955062866211
2020-01-21,76.24018859863281,94.5999984741211,73.46111297607422,115.08184814453125,219.51231384277344,157.3877410888672,6.163418769836426,36.47999954223633,268.8866882324219,50.467708587646484
2020-01-22,76.51232147216797,94.37300109863281,73.54138946533203,114.94729614257812,219.39340209960938,156.6315460205078,6.217360019683838,37.97066879272461,268.94036865234375,50.17645263671875
2020-01-23,76.88077545166016,94.22899627685547,73.58202362060547,114.8295669555664,217.84693908691406,157.59573364257812,6.285721302032471,38.14666748046875,267.9293518066406,49.8628044128418
2020-01-24,76.65919494628906,93.08200073242188,72.66416931152344,111.97857666015625,216.0428009033203,156.0076446533203,6.226557731628418,37.654666900634766,261.9794921875,49.52675247192383
2020-01-27,74.405029296875,91.41699981689453,70.95730590820312,111.03668212890625,212.99952697753906,153.39866638183594,5.97101354598999,37.201332092285156,254.17762756347656,48.34683609008789
2020-01-28,76.5099105834961,92.6624984741211,71.88755798339844,113.0550765991211,215.8941192626953,156.4047088623047,6.164163589477539,37.793331146240234,255.7703094482422,48.279632568359375
2020-01-29,78.1114273071289,92.9000015258789,72.19483184814453,112.88684844970703,221.2867431640625,158.8434600830078,6.103757381439209,38.732666015625,253.1129608154297,47.8763542175293
2020-01-30,77.99823760986328,93.53399658203125,72.07340240478516,114.28291320800781,207.7060089111328,163.32406616210938,6.110468864440918,42.72066879272461,251.39517211914062,48.384178161621094
2020-01-31,74.53988647460938,100.43599700927734,71.00933837890625,111.314208984375,200.15234375,160.9136199951172,5.877295970916748,43.371334075927734,243.76324462890625,46.390262603759766
2020-02-03,74.33518981933594,100.20999908447266,73.47845458984375,112.16360473632812,202.41249084472656,164.83648681640625,5.974244117736816,52.0,245.16793823242188,45.352230072021484
2020-02-04,76.78926849365234,102.4834976196289,71.63529968261719,113.77831268310547,208.00340270996094,170.26235961914062,6.143282413482666,59.137332916259766,251.2698516845703,44.7846794128418
2020-02-05,77.4154281616211,101.99349975585938,71.66700744628906,115.71261596679688,208.28094482421875,170.05438232421875,6.233518123626709,48.97999954223633,264.59210205078125,46.84580993652344
2020-02-06,78.32093811035156,102.5114974975586,73.14985656738281,115.72943878173828,209.0145263671875,173.5802764892578,6.320274353027344,49.930667877197266,261.6663818359375,46.21104049682617
2020-02-07,77.25636291503906,103.96399688720703,73.30548095703125,115.359375,210.48162841796875,173.82603454589844,6.254150867462158,49.871334075927734,258.76751708984375,45.90485382080078
2020-02-10,77.623291015625,106.69550323486328,74.76998901367188,115.8387451171875,211.2052764892578,178.37277221679688,6.537041187286377,51.41866683959961,256.8081359863281,45.420047760009766
2020-02-11,77.15498352050781,107.54000091552734,74.83938598632812,116.05741119384766,205.38638305664062,174.34593200683594,6.659345626831055,51.62533187866211,260.1722412109375,45.85183334350586
2020-02-12,78.98723602294922,108.0,75.26412963867188,116.05741119384766,208.92530822753906,174.60113525390625,6.774938106536865,51.15266799926758,271.5261535644531,46.412384033203125
2020-02-13,78.42474365234375,107.49349975585938,75.00442504882812,115.95649719238281,211.28460693359375,173.65586853027344,6.731184959411621,53.599998474121094,270.380859375,46.15483093261719
